C2,R21,RCC2,MFR,Tensile Modulus,Flexural Modulus,Impact Strength
7.1,19.4,36.7,1.4,1373,1438,71
6.9,18.2,37.9,1.2,1501,1535,71
5.2,16.4,31.7,1.1,1463,1457,77
5.8,16.6,34.9,1.4,1518,1444,58
5.7,16.6,34.3,1.6,1494,1397,68
6.5,17.4,37.4,1.5,1516,1434,73
6.7,17.2,39,1.2,1547,1471,64
5.6,15,37.3,1.4,1532,1408,72
6.5,17.6,36.9,1.4,1559,1379,73
7.2,19.5,36.9,1.6,1471,1335,75
6.4,17.3,37,1.6,1575,1350,72
6.2,17.1,36.3,1.5,1438,1429,56
6.3,17.1,36.8,1.5,1478,1394,71
6.5,17.6,36.9,1.5,1432,1341,64
6.8,17.9,38,1.8,1507,1350,72
5.5,17.6,31.3,1.5,1569,1537,70
5.8,17.8,32.6,1.2,1560,1476,80
5.8,18,32.2,1.4,1566,1418,82
7,19.2,36.5,1.4,1376,1360,71
6.6,18.2,36.2,1.3,1438,1406,79
6.5,17.9,36.3,1.2,1461,1466,79
6.2,17.4,35.7,1.2,1439,1450,74
6.2,18.4,33.7,1.2,1437,1499,77
6.9,18.1,38.1,1.3,1471,1444,71
5.9,17,34.7,1.5,1339,1498,75
6.1,17.3,35.3,1.6,1385,1283,71
5.8,16.3,35.6,1.6,1443,1332,63
5.6,16.6,33.5,1.5,1446,1338,71
6.2,17.2,36,1.5,1373,1244,59
6.9,17.4,39.7,1.8,1341,1247,76
6.6,17.1,38.6,1.5,1468,1383,61
7.2,18,40,1.6,1484,1374,57
7.1,18.1,39.2,1.3,1360,1311,70
7.1,18.1,39.2,1.5,1373,1321,63
8,17.9,44.7,2,1437,1263,55
6.8,16.9,40.1,1.5,1554,1553,70
7.8,18.4,42.4,1.4,1393,1385,79
7.8,18.5,42.2,1.6,1331,1296,79
8.4,17.6,47.7,1.8,1379,1341,68
8.5,20,42.5,1.6,1320,1264,79
9.6,19.9,48.1,1.9,1281,1216,67
9.3,19.6,47.4,1.8,1346,1268,73
8,17.7,45.2,1.6,1435,1338,74
8.1,18.2,44.5,1.5,1309,1214,72
7.5,17.4,43.1,1.6,1378,1280,71
8.3,17.3,48,1.3,1343,1271,69
8.7,18.2,47.8,1.5,1506,1285,61
8.2,17.9,45.7,1.1,1450,1210,77
8.4,18.3,45.8,1.3,1476,1207,78
8.4,17.9,46.9,1.2,1464,1454,75
8,17.5,45.8,1.5,1521,1408,66
8.4,17.2,48.8,1.6,1415,1314,63
7.1,16.8,42.2,1.8,1415,1344,60
7.4,16,46.4,1.9,1479,1480,22
7.8,16.1,48.4,1.7,1527,1520,55
6.8,15.8,43.1,1.7,1544,1520,70
7.4,16.1,46,20,1518,1500,73
7.8,16.6,47,1.9,1493,1490,71
7.8,17.2,45.3,1.9,1410,1500,65
8.1,17,47.8,1.5,1471,1480,67
8.5,18.1,47.1,1.7,1647,1530,52
7.7,17.8,43.3,1.5,1473,1470,61
7.9,17.6,44.9,1.8,1415,1390,65
8,17.8,45,1.4,1460,1466,63
6.8,15.9,42.8,1.7,1437,1470,62
7,16.7,41.9,1.6,1611,1530,67
7.1,16.8,42.3,1.8,1491,1436,67
7.2,17,42.3,1.6,1492,1500,66
9,19.5,46.3,1.5,1468,1420,81
7.9,18.1,43.7,1.3,1440,1400,77
8,17.1,46.8,1.4,1449,1440,72
9,19.6,45.9,1.2,1275,1290,80
7.8,17.5,44.6,4.4,1315,1082,17.4
7.2,17.3,41.6,4.7,1325,1092,15
8.1,17.1,47.5,4.8,1265,1262,15.5
7.9,16.8,47,5.1,1303,1299,14.8
7.3,16.5,44.2,4.6,1449,1389,16.4
7.3,16.3,44.9,4.2,1466,1405,14.4
7.3,17.2,42.4,4.5,1338,1324,16.7
7.5,17.4,43.1,4.9,1273,1244,14.1
8.9,17.2,51.7,4.6,1343,1312,15.7
9,17.6,51.1,4.3,1302,1258,17.1
8.5,17,50,5,1324,1276,14.9
9,19.8,45.5,4.7,1244,1142,54.6
7.6,16.7,45.4,5.2,1491,1389,13.5
6.2,15.5,40.1,4.9,1537,1477,10.9
7.6,16.5,46,4.9,1415,1298,13.3
7.5,16.1,46.6,4.8,1437,1320,14.8
5.7,15.6,36.5,4.7,1428,1312,12.9
7.8,16.2,48.3,4.8,1378,1245,13.5
7.5,16.6,45.3,4.2,1376,1249,14.1
7.2,16.2,44.4,4.8,1374,1246,13.6
6.8,16.4,41.5,4.5,1335,1265,13
7.2,16.2,44.4,5.3,1358,1267,12.9
5.8,15.5,37.5,4.5,1446,1311,12.6
7.3,16.3,44.8,4.4,1357,1273,13.6
7.9,16.4,48.2,4.7,1431,1285,13.4
